Nutrient,Unit of measure,Adults and Childrenâ‰¥ 4 years,Infants through 12 months,Children 1 through 3 years,Pregnant women and lactating women
Vitamin A,Micrograms RAE (mcg),900.0,500.0,300.0,1300.0
Vitamin C,Milligrams (mg),90.0,50.0,15.0,120.0
Calcium,Milligrams (mg),1300.0,260.0,700.0,1300.0
Iron,Milligrams (mg),18.0,11.0,7.0,27.0
Vitamin D,Micrograms (mcg)3,20.0,10.0,15.0,15.0
Vitamin E,Milligrams (mg)4,15.0,5.0,6.0,19.0
Vitamin K,Micrograms (mcg),120.0,2.5,30.0,90.0
Thiamin,Milligrams (mg),1.2,0.3,0.5,1.4
Riboflavin,Milligrams (mg),1.3,0.4,0.5,1.6
Niacin,Milligrams NE (mg),16.0,4.0,6.0,18.0
Vitamin B6,Milligrams (mg),1.7,0.3,0.5,2.0
Folate,Micrograms DFE (mcg),400.0,80.0,150.0,600.0
Vitamin B12,Micrograms (mcg),2.4,0.5,0.9,2.8
Biotin,Micrograms (mcg),30.0,6.0,8.0,35.0
Pantothenic acid,Milligrams (mg),5.0,1.8,2.0,7.0
Phosphorus,Milligrams (mg),1250.0,275.0,460.0,1250.0
Iodine,Micrograms (mcg),150.0,130.0,90.0,290.0
Magnesium,Milligrams (mg),420.0,75.0,80.0,400.0
Zinc,Milligrams (mg),11.0,3.0,3.0,13.0
Selenium,Micrograms (mcg),55.0,20.0,20.0,70.0
Copper,Milligrams (mg),0.9,0.2,0.3,1.3
Manganese,Milligrams (mg),2.3,0.6,1.2,2.6
Chromium,Micrograms (mcg),35.0,5.5,11.0,45.0
Molybdenum,Micrograms (mcg),45.0,3.0,17.0,50.0
Chloride,Milligrams (mg),2300.0,570.0,1500.0,2300.0
Potassium,Milligrams (mg),4700.0,700.0,3000.0,5100.0
Choline,Milligrams (mg),550.0,150.0,200.0,550.0
Protein,Grams (g),,11.0,,871.0
