ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,carbohydrates,Thiamin,Zinc,Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
almond,748.0,0.934,10.3,2.4,508.0,52.1,0.0,53.0,0.0,227.0,3.16,18.8,0.041,3.29,55.5,0.0,21.0,24.2,0.103,0.0,3.49,347.0,6.55,0.939,0.0,279.0,0.0
amaretto,0.0,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.003,41.6,0.0,0.04,0.3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.014,0.0,0.0,0.0,0.0
anchovy,544.0,0.339,0.0,68.1,252.0,85.0,1.7,13.0,85.0,3670.0,19.9,0.0,0.078,2.44,9.71,0.88,28.9,3.33,0.203,12.0,4.63,232.0,2.2,0.363,0.0,69.0,12.1
apple,81.0,0.046,1.5,4.7,31.0,5.6,0.1,24.0,0.0,167.0,0.917,30.7,0.092,0.22,3.54,0.0,2.09,0.38,0.042,29.0,0.74,48.0,0.687,0.065,2.2,8.0,3.6
apple juice,101.0,0.012,0.2,0.1,7.0,1.8,0.0,0.0,0.0,4.0,0.073,11.3,0.021,0.02,0.13,0.0,0.1,0.01,0.018,0.0,0.12,8.0,0.022,0.017,10.3,5.0,0.0
apricot,259.0,0.078,2.0,0.1,23.0,2.8,0.0,9.0,0.0,1.0,0.6,11.1,0.03,0.2,0.39,0.0,1.4,0.89,0.054,96.0,0.39,13.0,0.027,0.04,10.0,10.0,3.3
artichoke,120.0,0.041,0.9,4.4,88.0,24.1,0.1,18.0,39.0,601.0,0.205,5.47,0.024,0.53,33.1,0.2,3.65,1.27,0.049,62.0,0.24,101.0,8.27,0.1,2.0,13.0,56.6
arugula,369.0,0.076,1.6,0.3,52.0,15.3,0.0,97.0,0.0,27.0,0.305,3.65,0.044,0.47,0.66,0.0,2.58,0.43,0.073,119.0,1.46,160.0,0.086,0.086,15.0,47.0,109.0
asian pear,121.0,0.05,3.6,0.1,11.0,5.1,0.0,8.0,0.0,0.0,0.219,10.6,0.009,0.02,0.23,0.0,0.5,0.12,0.022,0.0,0.0,4.0,0.012,0.01,3.8,8.0,4.5
asparagus,202.0,0.189,2.1,2.3,52.0,16.0,0.0,52.0,0.0,2.0,0.978,3.88,0.143,0.54,0.12,0.0,2.2,1.13,0.091,38.0,2.14,24.0,0.04,0.141,5.6,14.0,41.6
aspen,17.0,0.002,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.73,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
avocado,58.0,0.01,0.1,1.6,31.0,3.6,0.0,4.0,40.0,867.0,0.14,7.36,0.02,0.25,43.3,0.26,1.9,4.6,0.01,10.0,0.35,34.0,5.98,0.05,0.2,7.0,96.7
bacon,178.0,0.084,2.2,17.0,463.0,12.2,0.1,106.0,14.0,1070.0,4.58,37.6,0.456,0.83,21.0,0.14,10.5,0.46,0.12,17.0,2.53,62.0,11.8,0.294,0.0,17.0,3.9
banana,536.0,0.205,7.7,1.5,56.0,21.3,0.0,14.0,0.0,6.0,0.71,58.4,0.085,0.75,33.6,0.0,2.3,0.24,0.26,4.0,1.25,18.0,29.0,0.017,6.3,76.0,1.3
barley,141.0,0.148,4.0,28.8,129.0,18.7,0.0,99.0,0.0,473.0,5.59,47.5,0.411,1.04,4.53,0.0,10.7,0.19,0.111,0.0,3.6,125.0,0.697,0.252,0.2,41.0,4.9
bean,368.0,0.196,4.9,7.7,105.0,16.3,0.0,21.0,0.0,443.0,0.43,15.9,0.09,0.69,3.7,0.0,5.44,0.91,0.115,0.0,1.6,26.0,0.529,0.1,0.6,40.0,1.7
beef,360.0,0.136,0.7,21.6,183.0,70.6,0.1,16.0,52.0,369.0,4.4,4.06,0.067,4.52,5.99,1.27,18.5,0.49,0.241,1.0,1.88,20.0,1.78,0.206,2.0,23.0,6.5
beef rib,274.0,0.105,1.4,6.3,86.0,36.7,0.1,12.0,26.0,238.0,1.49,15.6,0.064,2.2,5.68,0.86,9.13,0.34,0.189,19.0,1.38,22.0,2.52,0.096,4.8,21.0,17.3
beef shank,360.0,0.136,0.7,21.6,183.0,70.6,0.1,16.0,52.0,369.0,4.4,4.06,0.067,4.52,5.99,1.27,18.5,0.49,0.241,1.0,1.88,20.0,1.78,0.206,2.0,23.0,6.5
beef tenderloin,536.0,0.123,0.0,43.9,323.0,104.0,0.3,0.0,72.0,593.0,6.84,0.0,0.765,2.34,4.33,0.62,26.9,0.28,0.647,0.0,0.98,6.0,1.44,0.442,0.0,31.0,0.0
beer,27.0,0.005,0.0,0.6,14.0,10.1,0.0,6.0,0.0,4.0,0.513,3.55,0.005,0.01,0.0,0.02,0.46,0.0,0.046,0.0,0.02,4.0,0.0,0.025,0.0,6.0,0.0
beet,115.0,0.116,0.8,1.0,17.0,15.0,0.0,27.0,0.0,149.0,0.251,16.3,0.01,0.26,0.08,0.0,0.8,0.06,0.05,2.0,0.41,11.0,0.013,0.048,2.3,15.0,0.3
bell pepper,202.0,0.065,0.7,11.7,89.0,46.0,0.0,13.0,32.0,244.0,2.26,4.42,0.054,1.96,9.12,0.61,11.9,1.01,0.256,9.0,1.24,17.0,2.03,0.083,23.0,16.0,20.5
berry,130.0,0.051,2.1,0.3,20.0,5.8,0.0,19.0,0.0,1.0,0.396,9.72,0.028,0.15,0.31,0.0,0.69,0.37,0.048,2.0,0.37,13.0,0.019,0.028,44.1,11.0,7.3
biscuit,153.0,0.255,0.4,15.0,341.0,26.7,0.3,75.0,28.0,814.0,3.44,30.0,0.385,0.71,24.4,0.6,9.67,0.84,0.063,1.0,1.86,47.0,7.43,0.217,0.0,13.0,5.5
bitters,309.0,0.032,1.9,0.2,35.0,10.7,0.0,49.0,2.0,128.0,0.272,4.19,0.049,0.75,2.71,0.0,0.82,0.43,0.056,17.0,0.37,9.0,0.734,0.052,31.9,16.0,7.0
blackberry,162.0,0.165,5.3,0.4,22.0,8.5,0.0,25.0,0.0,1.0,0.646,9.61,0.02,0.53,0.49,0.0,1.39,1.17,0.03,11.0,0.62,29.0,0.014,0.026,21.0,20.0,19.8
blue cheese,256.0,0.04,0.0,14.5,387.0,15.4,0.5,36.0,75.0,1150.0,1.02,2.34,0.029,2.66,28.7,1.22,21.4,0.25,0.166,198.0,0.31,528.0,18.7,0.382,0.0,23.0,2.4
blueberry,77.0,0.057,2.4,0.1,12.0,6.0,0.0,6.0,0.0,1.0,0.418,14.5,0.037,0.16,0.33,0.0,0.74,0.57,0.052,3.0,0.28,6.0,0.028,0.041,9.7,6.0,19.3
bourbon,88.0,0.09,1.3,6.2,66.0,0.9,0.0,124.0,0.0,353.0,3.28,63.8,0.353,0.49,26.2,0.0,5.37,2.44,0.071,0.0,2.98,13.0,8.1,0.314,0.0,14.0,11.0
bran,160.0,0.216,3.8,31.8,122.0,26.5,0.0,171.0,0.0,458.0,4.47,44.6,0.463,1.05,6.0,0.01,9.6,0.07,0.092,0.0,3.95,95.0,1.39,0.31,0.0,44.0,3.1
brandy,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
bread,169.0,0.161,1.4,13.2,132.0,34.6,0.5,65.0,41.0,304.0,1.58,47.2,0.203,0.64,17.6,0.15,5.96,1.56,0.12,32.0,1.9,146.0,2.66,0.215,0.9,25.0,14.2
brie,152.0,0.019,0.0,14.5,188.0,15.4,0.5,65.0,100.0,629.0,0.38,0.45,0.07,2.38,27.7,1.65,20.8,0.24,0.235,174.0,0.5,184.0,17.4,0.52,0.0,20.0,2.3
brisket,257.0,0.107,0.0,23.1,214.0,101.0,0.3,7.0,92.0,387.0,3.34,0.0,0.069,5.91,19.4,2.43,26.6,0.19,0.268,0.0,2.51,7.0,7.47,0.198,0.0,21.0,1.8
broccoli,160.0,0.066,1.8,10.2,65.0,17.9,0.1,92.0,10.0,328.0,1.81,22.3,0.238,0.41,12.8,0.04,4.25,1.75,0.081,16.0,1.59,42.0,1.84,0.18,29.9,15.0,54.5
broccoli rabe,160.0,0.066,1.8,10.2,65.0,17.9,0.1,92.0,10.0,328.0,1.81,22.3,0.238,0.41,12.8,0.04,4.25,1.75,0.081,16.0,1.59,42.0,1.84,0.18,29.9,15.0,54.5
brown rice,347.0,0.202,4.2,3.0,104.0,23.2,0.0,46.0,0.0,214.0,1.09,24.2,0.133,1.05,4.49,0.0,6.52,1.05,0.098,0.0,2.29,52.0,0.688,0.052,0.0,51.0,6.6
brussel sprout,389.0,0.07,3.8,1.6,69.0,19.1,0.0,61.0,0.0,25.0,0.745,8.95,0.139,0.42,0.3,0.0,3.38,0.88,0.219,38.0,1.4,42.0,0.062,0.09,85.0,23.0,177.0
bulgur,65.0,0.07,4.2,0.6,38.0,7.1,0.2,17.0,0.0,249.0,0.93,17.3,0.053,0.53,4.17,0.0,2.87,1.4,0.324,54.0,0.89,11.0,0.836,0.028,0.0,30.0,7.1
butter,748.0,0.934,10.3,2.4,508.0,52.1,0.0,53.0,0.0,227.0,3.16,18.8,0.041,3.29,55.5,0.0,21.0,24.2,0.103,0.0,3.49,347.0,6.55,0.939,0.0,279.0,0.0
buttermilk,135.0,0.025,0.0,3.7,85.0,14.6,1.3,5.0,11.0,105.0,0.09,4.88,0.047,0.38,3.31,0.46,3.21,0.07,0.036,47.0,0.03,115.0,1.9,0.172,0.0,10.0,0.3
butternut squash,168.0,0.054,1.3,7.9,77.0,32.1,0.6,33.0,38.0,166.0,0.84,26.6,0.1,0.45,8.01,0.19,4.0,0.54,0.09,120.0,0.93,65.0,2.31,0.17,2.5,13.0,4.9
cabbage,243.0,0.017,2.1,0.6,30.0,17.1,0.0,18.0,0.0,27.0,0.418,7.37,0.064,0.22,0.16,0.0,1.43,0.11,0.209,56.0,0.8,45.0,0.021,0.069,57.0,16.0,38.2
cake,153.0,0.05,3.7,2.0,52.0,8.9,0.0,32.0,5.0,101.0,0.791,61.6,0.05,0.27,9.1,0.01,2.9,0.9,0.046,7.0,2.07,33.0,1.05,0.099,0.5,16.0,1.5
candy,5.0,0.029,0.0,0.6,3.0,0.0,0.0,0.0,0.0,38.0,0.007,98.0,0.004,0.01,0.2,0.0,0.0,0.0,0.003,0.0,0.3,3.0,0.0,0.003,0.0,3.0,0.0
cantaloupe,57.0,0.036,0.3,0.8,7.0,3.0,0.0,3.0,0.0,13.0,0.249,15.6,0.016,0.18,0.11,0.0,0.33,0.02,0.014,69.0,0.16,5.0,0.02,0.012,3.0,6.0,1.1
caramel,239.0,0.191,0.7,2.1,140.0,11.4,0.0,14.0,6.0,218.0,0.256,70.0,0.129,0.73,14.4,0.27,5.77,0.49,0.109,11.0,0.44,134.0,2.88,0.244,0.5,33.0,1.9
caraway,9.0,0.015,0.0,0.0,0.0,0.4,0.0,1.0,0.0,1.0,0.0,0.2,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,0.002,0.004,0.0,1.0,0.0
carrot,320.0,0.045,2.8,0.1,35.0,8.8,0.0,19.0,0.0,69.0,0.983,9.58,0.066,0.24,0.24,0.0,0.93,0.66,0.138,835.0,0.3,33.0,0.032,0.058,5.9,12.0,13.2
cashew,447.0,1.76,3.0,9.3,388.0,48.3,0.0,55.0,0.0,295.0,1.11,30.3,0.158,4.43,53.0,0.0,12.1,5.08,0.203,0.0,4.91,61.0,10.6,0.159,0.0,206.0,30.3
cauliflower,153.0,0.062,1.6,9.5,57.0,28.0,0.1,90.0,10.0,327.0,1.76,21.7,0.231,0.36,12.7,0.04,3.9,1.48,0.084,4.0,1.46,32.0,1.85,0.159,16.1,13.0,20.5
caviar,181.0,0.11,0.0,65.5,356.0,491.0,2.9,50.0,588.0,1500.0,0.12,4.0,0.19,0.95,17.9,20.0,24.6,1.89,0.32,271.0,11.9,275.0,4.06,0.62,0.0,300.0,0.6
celery,260.0,0.035,1.6,0.4,24.0,6.1,0.0,36.0,0.0,80.0,0.32,2.97,0.021,0.13,0.17,0.0,0.69,0.27,0.074,22.0,0.2,40.0,0.042,0.057,3.1,11.0,29.3
champagne,83.0,0.038,0.1,0.2,11.0,3.0,0.0,7.0,0.0,4.0,0.134,12.2,0.024,0.1,0.08,0.0,0.16,0.01,0.055,0.0,0.25,8.0,0.005,0.017,4.0,8.0,0.1
chard,395.0,0.186,1.7,0.9,48.0,19.0,0.0,11.0,2.0,353.0,0.396,3.9,0.038,0.38,2.94,0.0,1.88,2.28,0.116,314.0,1.88,54.0,0.806,0.089,21.9,84.0,866.0
chartreuse,0.0,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.003,41.6,0.0,0.04,0.3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.014,0.0,0.0,0.0,0.0
cheddar,77.0,0.033,0.0,28.3,458.0,16.5,0.6,21.0,100.0,654.0,0.052,2.44,0.029,3.67,34.0,1.06,23.3,0.75,0.069,316.0,0.16,707.0,19.2,0.441,0.0,27.0,2.4
cheese,295.0,0.027,0.0,16.2,768.0,35.8,6.5,18.0,78.0,1280.0,0.17,8.85,0.04,2.21,23.1,1.52,16.1,0.84,0.124,270.0,0.95,1380.0,12.9,0.425,0.0,34.0,3.1
cherry,222.0,0.06,2.1,0.0,21.0,6.1,0.0,4.0,0.0,0.0,0.154,16.0,0.027,0.07,0.2,0.0,1.06,0.07,0.049,3.0,0.36,13.0,0.038,0.033,7.0,11.0,2.1
chestnut,592.0,0.507,5.1,1.2,107.0,1.5,0.0,70.0,0.0,2.0,1.34,53.0,0.243,0.57,2.2,0.0,3.17,0.5,0.497,1.0,0.91,29.0,0.414,0.175,26.0,33.0,7.8
chicken,278.0,0.064,0.0,23.9,236.0,66.1,0.0,8.0,112.0,499.0,7.57,0.0,0.07,1.6,6.33,0.36,26.7,0.41,0.246,8.0,0.73,15.0,1.57,0.181,0.0,23.0,0.0
chickpea,270.0,0.327,7.1,3.4,156.0,39.8,0.0,152.0,0.0,222.0,0.464,25.5,0.102,1.42,8.91,0.0,8.23,1.09,0.123,1.0,2.7,46.0,1.14,0.056,1.1,45.0,11.4
chile pepper,196.0,0.084,1.1,13.0,190.0,69.1,0.7,25.0,116.0,302.0,0.636,6.35,0.059,1.28,16.9,0.31,10.9,1.49,0.163,105.0,1.16,228.0,6.91,0.257,30.1,19.0,11.5
chili,260.0,0.094,3.0,8.0,237.0,18.3,0.1,19.0,32.0,453.0,0.397,23.0,0.063,2.23,14.2,0.13,10.1,1.24,0.125,79.0,2.28,206.0,5.51,0.172,0.9,50.0,6.2
chive,296.0,0.157,2.5,0.9,58.0,5.2,0.0,105.0,0.0,3.0,0.647,4.35,0.078,0.56,0.73,0.0,3.27,0.21,0.138,218.0,1.6,92.0,0.146,0.115,58.1,42.0,213.0
chocolate,239.0,0.359,3.9,8.5,255.0,29.5,0.0,109.0,7.0,388.0,2.3,51.0,0.294,0.88,22.7,0.04,5.42,1.78,0.046,3.0,3.06,39.0,9.79,0.24,0.0,50.0,7.4
cilantro,521.0,0.225,2.8,0.9,48.0,12.8,0.0,62.0,0.0,46.0,1.11,3.67,0.067,0.5,0.52,0.0,2.13,2.5,0.149,337.0,1.77,67.0,0.014,0.162,27.0,26.0,310.0
cinco de mayo,157.0,0.047,1.1,0.1,19.0,4.7,0.0,12.0,0.0,443.0,0.407,3.7,0.028,0.13,0.14,0.0,0.71,0.32,0.091,25.0,0.23,11.0,0.023,0.02,10.8,9.0,6.9
cinnamon,74.0,0.064,3.5,12.3,57.0,2.7,0.0,81.0,0.0,388.0,2.82,44.4,0.317,0.49,5.29,0.05,7.05,0.5,0.027,0.0,2.54,71.0,0.0,0.12,0.0,11.0,9.5
citrus,121.0,0.022,0.2,0.1,13.0,5.1,0.0,13.0,0.0,7.0,0.168,6.88,0.037,0.06,0.31,0.0,0.46,0.16,0.011,4.0,0.07,11.0,0.037,0.015,25.7,8.0,0.0
clam,159.0,0.068,1.2,16.6,101.0,35.1,0.1,19.0,16.0,326.0,1.07,9.83,0.097,0.49,4.72,4.42,8.73,0.74,0.103,69.0,1.19,43.0,1.08,0.072,14.7,18.0,9.6
coconut,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,2.92,0.0,0.0,2.08,0.63,0.21,0.0,0.0,63.0,0.3,188.0,2.08,0.0,0.0,0.0,0.0
cod,11.0,0.013,0.0,0.2,2.0,0.8,0.0,0.0,0.0,2.0,0.034,10.2,0.001,0.03,0.08,0.0,0.0,0.17,0.0,0.0,0.08,2.0,0.007,0.001,31.8,1.0,0.8
coffee,39.0,0.007,0.0,0.2,7.0,2.8,0.1,2.0,7.0,3.0,0.135,2.03,0.012,0.04,2.41,0.01,0.27,0.07,0.003,27.0,0.02,6.0,1.53,0.064,0.0,2.0,0.3
cognac,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
collard greens,213.0,0.046,4.0,1.3,25.0,23.2,0.0,129.0,0.0,17.0,0.742,5.42,0.054,0.21,0.61,0.0,3.02,2.26,0.165,251.0,0.47,232.0,0.055,0.13,35.3,27.0,437.0
cookies,83.0,0.086,1.4,21.9,206.0,31.6,0.2,105.0,42.0,263.0,2.65,66.4,0.314,0.5,8.09,0.09,7.38,0.95,0.039,18.0,2.68,111.0,1.3,0.308,0.4,14.0,7.6
coriander,521.0,0.225,2.8,0.9,48.0,12.8,0.0,62.0,0.0,46.0,1.11,3.67,0.067,0.5,0.52,0.0,2.13,2.5,0.149,337.0,1.77,67.0,0.014,0.162,27.0,26.0,310.0
corn,16.0,0.017,0.5,1.2,11.0,1.0,0.0,28.0,0.0,135.0,0.529,9.4,0.052,0.09,0.21,0.0,0.84,0.01,0.019,1.0,0.49,3.0,0.026,0.041,0.0,5.0,0.0
cornmeal,74.0,0.012,0.2,1.2,51.0,7.6,0.5,3.0,5.0,18.0,0.22,16.3,0.046,0.24,1.54,0.22,1.7,0.03,0.039,14.0,0.17,59.0,0.819,0.075,0.0,9.0,0.1
cottage cheese,116.0,0.036,0.2,12.5,127.0,14.4,0.0,9.0,10.0,273.0,0.131,4.94,0.019,0.53,1.96,0.36,9.41,0.13,0.056,61.0,0.15,88.0,1.07,0.201,0.3,9.0,0.4
couscous,58.0,0.041,1.4,27.4,22.0,3.3,0.0,15.0,0.0,189.0,0.978,23.1,0.063,0.26,0.16,0.0,3.77,0.13,0.051,0.0,0.38,8.0,0.029,0.027,0.0,8.0,0.1
crab,115.0,0.029,0.6,11.5,149.0,15.4,0.0,11.0,19.0,526.0,0.384,8.58,0.023,0.23,16.3,0.3,4.12,0.86,0.085,9.0,0.29,18.0,2.62,0.057,3.1,24.0,41.9
cranberry,49.0,0.063,5.3,0.6,8.0,8.3,0.0,0.0,0.0,5.0,0.548,82.8,0.013,0.1,1.09,0.0,0.17,2.1,0.038,2.0,0.39,9.0,0.088,0.028,0.2,4.0,7.6
cranberry sauce,28.0,0.026,1.1,0.4,4.0,3.8,0.0,1.0,0.0,5.0,0.1,40.4,0.015,0.03,0.15,0.0,0.9,0.93,0.014,2.0,0.41,3.0,0.007,0.021,1.0,2.0,1.4
cream cheese,247.0,0.032,0.0,4.0,152.0,12.1,0.3,19.0,54.0,359.0,0.125,8.13,0.04,0.57,15.3,0.92,7.85,0.27,0.045,161.0,0.17,148.0,9.1,0.185,0.0,8.0,1.1
créme de cacao,157.0,0.047,1.1,0.1,19.0,4.7,0.0,12.0,0.0,443.0,0.407,3.7,0.028,0.13,0.14,0.0,0.71,0.32,0.091,25.0,0.23,11.0,0.023,0.02,10.8,9.0,6.9
cucumber,123.0,0.031,0.5,0.3,20.0,4.3,0.0,6.0,0.0,236.0,0.072,7.2,0.021,0.15,0.09,0.0,0.52,0.02,0.037,3.0,0.24,14.0,0.027,0.024,2.5,10.0,10.0
currant,777.0,0.298,4.4,0.7,99.0,10.6,0.0,10.0,0.0,43.0,1.62,77.0,0.16,0.37,0.22,0.0,3.43,0.11,0.296,4.0,1.88,88.0,0.085,0.142,4.7,36.0,3.3
curry,288.0,0.095,1.4,7.3,76.0,29.5,0.0,15.0,20.0,359.0,1.44,6.46,0.049,1.84,6.53,0.54,7.56,1.07,0.201,46.0,1.17,20.0,1.8,0.091,8.6,17.0,9.7
custard,160.0,0.014,0.0,7.1,124.0,53.3,1.3,7.0,73.0,86.0,0.107,11.0,0.043,0.6,3.43,0.39,5.11,0.21,0.068,79.0,0.31,119.0,1.56,0.197,0.0,13.0,0.2
dill,112.0,0.026,1.0,0.0,16.0,3.4,0.0,8.0,0.0,808.0,0.109,1.99,0.047,0.11,0.43,0.0,0.48,0.12,0.034,4.0,0.23,54.0,0.079,0.057,2.1,7.0,16.8
dried fruit,531.0,0.219,4.8,0.9,64.0,11.8,0.0,10.0,0.0,32.0,1.01,78.6,0.065,0.28,0.62,0.0,2.28,1.52,0.146,25.0,1.3,39.0,0.104,0.087,5.5,24.0,5.7
duck,87.0,0.037,0.6,1.3,9.0,1.7,0.0,2.0,0.0,712.0,0.239,60.7,0.023,0.21,0.13,0.0,0.36,0.2,0.032,8.0,0.39,11.0,0.051,0.014,0.9,5.0,0.3
egg,327.0,0.067,0.6,30.5,189.0,158.0,1.2,41.0,256.0,492.0,3.23,8.63,0.256,1.21,21.6,0.49,13.8,1.27,0.155,214.0,1.57,61.0,11.2,0.262,1.4,15.0,3.5
egg nog,327.0,0.067,0.6,30.5,189.0,158.0,1.2,41.0,256.0,492.0,3.23,8.63,0.256,1.21,21.6,0.49,13.8,1.27,0.155,214.0,1.57,61.0,11.2,0.262,1.4,15.0,3.5
