ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,carbohydrates,Thiamin,Zinc,Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
pine nut,597.0,1.32,3.7,0.7,575.0,55.8,0.0,34.0,0.0,2.0,4.39,13.1,0.364,6.45,68.4,0.0,13.7,9.33,0.094,1.0,5.53,16.0,4.9,0.227,0.8,251.0,53.9
pineapple,109.0,0.11,1.4,0.1,8.0,5.5,0.0,18.0,0.0,1.0,0.5,13.1,0.079,0.12,0.12,0.0,0.54,0.02,0.112,3.0,0.29,13.0,0.009,0.032,47.8,12.0,0.7
pistachio,1010.0,1.29,10.3,10.0,469.0,71.4,0.0,51.0,0.0,6.0,1.37,28.3,0.695,2.34,45.8,0.0,21.0,2.17,1.12,13.0,4.03,107.0,5.64,0.234,3.0,109.0,13.2
pizza,119.0,0.115,1.7,1.5,47.0,9.7,0.0,36.0,3.0,130.0,1.08,32.3,0.062,0.42,7.56,0.0,1.87,0.89,0.045,15.0,0.9,21.0,1.92,0.084,23.8,13.0,13.3
plantain,786.0,0.198,3.5,0.4,78.0,0.0,0.0,35.0,0.0,202.0,0.802,63.8,0.065,0.37,29.6,0.0,2.28,5.04,0.46,69.0,0.97,9.0,8.34,0.04,32.1,71.0,28.6
plum,106.0,0.041,1.0,0.0,12.0,1.4,0.0,2.0,0.0,1.0,0.281,13.5,0.017,0.08,0.23,0.0,0.52,0.2,0.021,11.0,0.13,5.0,0.013,0.019,5.7,5.0,4.8
poblano,175.0,0.066,1.7,0.0,20.0,5.5,0.0,10.0,0.0,3.0,0.48,4.64,0.057,0.13,0.17,0.0,0.86,0.37,0.224,18.0,0.34,10.0,0.058,0.028,80.4,10.0,7.4
pomegranate,236.0,0.158,4.0,0.5,36.0,7.6,0.0,38.0,0.0,3.0,0.293,18.7,0.067,0.35,1.17,0.0,1.67,0.6,0.075,0.0,0.3,10.0,0.12,0.053,10.2,12.0,16.4
pomegranate juice,214.0,0.021,0.1,0.3,11.0,4.8,0.0,24.0,0.0,9.0,0.233,13.1,0.015,0.09,0.29,0.0,0.15,0.38,0.04,0.0,0.1,11.0,0.077,0.015,0.1,7.0,10.4
poppy,61.0,0.035,0.3,1.2,49.0,6.0,0.1,3.0,15.0,933.0,0.047,23.7,0.024,0.25,33.3,0.09,0.92,2.36,0.022,51.0,0.25,59.0,6.06,0.058,0.3,9.0,50.2
pork,231.0,0.171,4.4,4.8,88.0,22.3,0.0,8.0,7.0,391.0,0.304,21.6,0.033,0.51,0.89,0.0,4.52,0.04,0.05,1.0,1.4,39.0,0.231,0.015,0.0,30.0,0.4
pork chop,459.0,0.068,0.0,47.7,276.0,74.6,0.5,0.0,84.0,514.0,8.2,0.0,0.565,1.92,10.5,0.64,27.7,0.2,0.558,1.0,0.5,8.0,3.27,0.249,0.0,31.0,0.0
pork rib,107.0,0.096,0.0,17.2,121.0,48.9,0.1,3.0,69.0,374.0,3.29,0.0,0.04,2.7,18.0,0.14,19.4,0.27,0.099,48.0,2.28,27.0,4.96,0.246,0.0,13.0,3.9
pork tenderloin,536.0,0.123,0.0,43.9,323.0,104.0,0.3,0.0,72.0,593.0,6.84,0.0,0.765,2.34,4.33,0.62,26.9,0.28,0.647,0.0,0.98,6.0,1.44,0.442,0.0,31.0,0.0
potato,219.0,0.028,1.5,7.1,79.0,48.5,0.4,21.0,68.0,221.0,0.965,13.4,0.096,0.45,11.2,0.26,3.89,1.1,0.108,61.0,0.72,34.0,3.12,0.151,0.5,13.0,9.1
potato salad,308.0,0.171,1.3,1.1,44.0,16.8,0.0,8.0,6.0,361.0,1.08,17.3,0.085,0.26,11.4,0.02,1.73,0.54,0.235,3.0,0.34,7.0,1.79,0.021,10.0,20.0,26.2
poultry,42.0,0.019,0.1,0.4,20.0,3.7,0.0,2.0,5.0,389.0,0.285,5.29,0.024,0.08,2.62,0.0,0.71,0.1,0.025,1.0,0.09,10.0,0.639,0.053,0.0,3.0,0.6
poultry sausage,42.0,0.019,0.1,0.4,20.0,3.7,0.0,2.0,5.0,389.0,0.285,5.29,0.024,0.08,2.62,0.0,0.71,0.1,0.025,1.0,0.09,10.0,0.639,0.053,0.0,3.0,0.6
pressure cooker,242.0,0.033,0.0,11.3,875.0,36.2,0.4,7.0,55.0,1620.0,0.131,8.73,0.048,2.59,21.2,0.4,16.4,0.19,0.117,173.0,0.33,562.0,13.3,0.431,0.0,29.0,1.8
prosciutto,510.0,0.108,0.0,25.8,318.0,106.0,0.9,5.0,70.0,2700.0,3.88,0.3,0.567,2.81,8.32,0.88,27.8,0.28,0.42,0.0,1.11,10.0,2.78,0.242,0.0,25.0,0.0
prune,732.0,0.281,7.1,0.3,69.0,10.1,0.0,4.0,0.0,2.0,1.88,63.9,0.051,0.44,0.38,0.0,2.18,0.43,0.205,39.0,0.93,43.0,0.088,0.186,0.6,41.0,59.5
pumpkin,146.0,0.076,1.4,12.1,109.0,31.4,0.5,56.0,38.0,286.0,1.44,43.0,0.173,0.45,12.7,0.14,4.85,1.67,0.055,207.0,1.92,137.0,2.16,0.198,0.8,17.0,16.9
quail,215.0,0.59,0.0,21.7,278.0,65.6,0.2,6.0,86.0,214.0,7.89,0.0,0.219,3.09,14.0,0.36,25.0,0.7,0.617,70.0,4.41,15.0,3.94,0.299,2.3,22.0,4.2
quiche,243.0,0.079,1.2,14.2,199.0,57.7,0.9,55.0,123.0,313.0,0.77,11.6,0.079,1.43,23.5,0.5,10.6,1.22,0.108,325.0,1.57,243.0,12.7,0.271,4.0,35.0,131.0
quinoa,164.0,0.182,2.7,2.7,145.0,22.3,0.2,40.0,0.0,188.0,0.391,20.2,0.102,1.03,4.75,0.0,4.18,1.63,0.3,40.0,1.41,17.0,0.812,0.105,0.0,61.0,5.0
rabbit,342.0,0.175,0.0,15.1,239.0,129.0,0.0,8.0,122.0,207.0,6.37,0.0,0.02,2.37,3.5,6.48,32.9,0.41,0.339,0.0,4.83,18.0,1.05,0.07,0.0,31.0,1.5
rack of lamb,255.0,0.122,0.0,30.3,165.0,109.0,0.1,17.0,105.0,394.0,5.42,0.0,0.05,7.63,13.4,2.26,28.1,0.18,0.099,0.0,2.12,20.0,5.58,0.188,0.0,22.0,4.3
radicchio,302.0,0.341,0.9,0.9,40.0,10.9,0.0,60.0,0.0,22.0,0.255,4.48,0.016,0.62,0.25,0.0,1.43,2.26,0.057,1.0,0.57,19.0,0.06,0.028,8.0,13.0,255.0
radish,233.0,0.05,1.6,0.6,20.0,6.5,0.0,25.0,0.0,39.0,0.254,3.4,0.012,0.28,0.1,0.0,0.68,0.0,0.071,0.0,0.34,25.0,0.032,0.039,14.8,10.0,1.3
raisin,744.0,0.272,4.5,0.6,98.0,11.1,0.0,5.0,0.0,26.0,0.766,79.3,0.106,0.36,0.25,0.0,3.3,0.12,0.174,0.0,1.79,62.0,0.094,0.125,2.3,36.0,3.5
raspberry,151.0,0.09,6.5,0.2,29.0,12.3,0.0,21.0,0.0,1.0,0.598,11.9,0.032,0.42,0.65,0.0,1.2,0.87,0.055,2.0,0.69,25.0,0.019,0.038,26.2,22.0,7.8
red wine,127.0,0.011,0.0,0.2,23.0,5.7,0.0,1.0,0.0,4.0,0.224,2.61,0.005,0.14,0.0,0.0,0.07,0.0,0.057,0.0,0.46,8.0,0.0,0.031,0.0,12.0,0.4
rhubarb,233.0,0.018,1.6,1.1,13.0,5.5,0.0,4.0,0.0,4.0,0.242,17.4,0.014,0.09,0.22,0.0,0.81,0.24,0.02,4.0,0.2,73.0,0.047,0.028,5.7,11.0,26.3
rice,86.0,0.098,0.6,10.3,63.0,17.5,0.0,83.0,53.0,316.0,1.74,17.3,0.124,0.78,2.25,1.07,5.13,0.29,0.105,208.0,1.78,15.0,0.408,0.168,4.9,9.0,3.1
ricotta,178.0,0.017,0.0,11.1,172.0,16.9,0.2,8.0,40.0,102.0,0.123,6.0,0.032,0.95,9.46,0.54,9.6,0.17,0.06,117.0,0.27,248.0,5.95,0.256,0.0,17.0,0.6
rum,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
rutabaga,318.0,0.033,2.4,0.7,55.0,14.9,0.0,19.0,2.0,144.0,0.693,8.98,0.084,0.25,2.89,0.0,1.13,0.63,0.111,12.0,0.46,45.0,0.803,0.04,22.1,21.0,2.8
rye,166.0,0.186,5.8,30.9,125.0,14.6,0.0,151.0,0.0,603.0,3.8,48.3,0.434,1.14,3.3,0.0,8.5,0.33,0.075,0.0,2.83,73.0,0.626,0.335,0.4,40.0,1.2
sake,25.0,0.009,0.0,1.4,6.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,6.0,0.0
salad,64.0,0.019,0.0,3.5,186.0,32.8,0.1,4.0,26.0,901.0,0.054,5.9,0.015,0.17,44.5,0.17,1.32,2.22,0.03,15.0,0.3,28.0,6.96,0.087,0.0,5.0,134.0
salmon,270.0,0.063,1.0,11.7,135.0,34.9,4.8,20.0,19.0,145.0,2.62,3.31,0.035,0.4,1.86,1.54,7.55,0.53,0.158,30.0,0.51,88.0,0.321,0.084,8.9,18.0,23.1
salsa,259.0,0.081,1.9,0.8,41.0,7.9,0.0,8.0,0.0,906.0,1.62,6.36,0.046,0.25,0.89,0.0,1.13,0.43,0.083,11.0,0.65,9.0,0.0,0.036,12.3,19.0,13.6
sangria,39.0,0.014,0.0,0.1,9.0,2.3,0.0,1.0,0.0,11.0,0.059,8.26,0.003,0.1,0.04,0.0,0.04,0.0,0.026,0.0,0.15,6.0,0.002,0.008,0.3,6.0,0.2
sardine,273.0,0.158,1.0,39.6,322.0,48.2,2.7,82.0,79.0,383.0,5.03,21.9,0.27,1.12,7.96,4.97,17.9,1.23,0.134,18.0,3.12,306.0,1.21,0.233,0.0,34.0,1.5
sausage,351.0,0.053,0.0,11.6,154.0,29.7,0.7,3.0,57.0,1010.0,2.32,4.29,0.03,1.93,26.1,1.19,10.9,0.56,0.157,19.0,1.29,21.0,10.5,0.065,15.2,13.0,2.4
scallop,253.0,0.091,1.9,3.4,48.0,8.9,0.0,27.0,11.0,216.0,1.28,14.1,0.137,0.36,4.92,0.05,2.7,0.59,0.096,68.0,0.89,37.0,2.7,0.068,12.2,17.0,8.1
scotch,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
seafood,112.0,0.078,0.8,11.2,87.0,23.6,0.0,49.0,25.0,609.0,2.28,16.4,0.127,0.69,4.77,1.24,8.03,0.72,0.108,25.0,1.21,18.0,0.96,0.083,9.8,14.0,3.9
semolina,123.0,0.037,0.5,7.6,95.0,7.6,0.1,40.0,3.0,83.0,1.01,44.1,0.131,0.5,8.46,0.15,4.15,0.52,0.026,13.0,0.94,113.0,2.36,0.179,0.2,12.0,4.0
sesame,157.0,0.0,1.0,1.6,37.0,4.0,0.0,0.0,0.0,1000.0,0.0,8.6,0.0,0.1,45.2,0.0,3.1,5.0,0.0,2.0,0.6,19.0,6.2,0.0,0.0,0.0,56.0
sesame oil,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,13.6
shellfish,179.0,0.117,1.1,21.0,100.0,36.4,0.1,79.0,36.0,239.0,1.69,15.7,0.167,0.62,5.04,1.67,6.58,1.24,0.077,29.0,1.34,23.0,0.793,0.101,2.2,22.0,5.2
sherry,92.0,0.045,0.0,0.5,9.0,5.0,0.0,0.0,0.0,9.0,0.213,13.7,0.018,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.24,8.0,0.0,0.018,0.0,9.0,0.0
shrimp,218.0,0.207,0.6,33.1,210.0,92.4,0.1,22.0,138.0,509.0,2.04,10.8,0.028,1.2,1.48,1.09,15.4,1.81,0.186,65.0,0.5,69.0,0.341,0.032,4.0,30.0,1.8
snapper,165.0,0.067,0.8,3.5,53.0,17.1,0.0,11.0,9.0,262.0,0.957,3.71,0.043,0.28,0.95,0.21,4.75,0.25,0.071,36.0,0.58,31.0,0.196,0.055,4.0,11.0,15.4
sorbet,28.0,0.007,0.5,0.2,3.0,4.0,0.0,3.0,0.0,13.0,0.082,27.1,0.006,0.04,0.05,0.0,0.79,0.0,0.013,0.0,0.17,3.0,0.0,0.009,5.2,2.0,0.4
soup,285.0,0.071,0.8,0.9,61.0,13.7,0.3,54.0,2.0,182.0,0.923,2.88,0.042,0.36,0.98,0.17,2.92,0.74,0.086,177.0,1.09,73.0,0.429,0.117,7.7,32.0,180.0
sour cream,161.0,0.058,0.0,2.5,45.0,0.0,0.0,0.0,0.0,102.0,0.0,6.63,0.0,1.18,19.5,0.0,2.4,0.74,0.0,0.0,0.39,3.0,17.8,0.0,0.0,6.0,4.8
soy,7.0,2.46,3.5,12.1,7.0,111.0,0.0,240.0,0.0,842.0,2.98,53.2,0.333,1.5,7.35,0.0,26.5,1.01,0.513,0.0,5.2,171.0,1.1,0.349,0.0,170.0,11.9
soy sauce,435.0,0.043,0.8,0.5,166.0,18.3,0.0,14.0,0.0,5490.0,2.2,4.93,0.033,0.87,0.57,0.0,8.14,0.0,0.148,0.0,1.45,33.0,0.073,0.165,0.0,74.0,0.0
sparkling wine,25.0,0.009,0.0,1.4,6.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,6.0,0.0
spinach,285.0,0.071,0.8,0.9,61.0,13.7,0.3,54.0,2.0,182.0,0.923,2.88,0.042,0.36,0.98,0.17,2.92,0.74,0.086,177.0,1.09,73.0,0.429,0.117,7.7,32.0,180.0
squid,226.0,2.06,0.0,51.5,203.0,74.7,0.0,4.0,268.0,312.0,2.0,3.54,0.018,1.76,1.59,1.12,17.9,1.38,0.048,10.0,0.74,37.0,0.411,0.379,3.8,34.0,0.0
steak,202.0,0.065,0.7,11.7,89.0,46.0,0.0,13.0,32.0,244.0,2.26,4.42,0.054,1.96,9.12,0.61,11.9,1.01,0.256,9.0,1.24,17.0,2.03,0.083,23.0,16.0,20.5
strawberry,153.0,0.048,2.0,0.4,24.0,5.7,0.0,24.0,0.0,1.0,0.386,7.68,0.024,0.14,0.3,0.0,0.67,0.29,0.047,1.0,0.41,16.0,0.015,0.022,58.8,13.0,2.2
sweet potato,143.0,0.128,1.7,21.6,80.0,10.2,0.2,120.0,3.0,475.0,3.95,45.2,0.408,0.59,2.84,0.05,7.41,0.48,0.067,85.0,2.53,34.0,0.998,0.296,4.1,20.0,1.1
swiss cheese,71.0,0.047,0.0,30.1,574.0,13.8,0.0,9.0,93.0,185.0,0.06,1.44,0.011,4.37,31.0,3.02,27.0,0.6,0.07,292.0,0.13,890.0,18.2,0.303,0.0,33.0,1.4
swordfish,397.0,0.075,0.6,55.3,259.0,80.9,12.1,19.0,91.0,400.0,7.44,9.85,0.156,0.88,16.0,1.21,19.8,2.86,0.447,41.0,1.16,35.0,3.03,0.135,0.0,32.0,11.4
taco,115.0,0.068,0.5,0.4,21.0,0.0,0.0,2.0,0.0,570.0,0.16,0.72,0.029,0.14,0.68,0.0,1.16,0.01,0.139,74.0,1.04,11.0,0.095,0.076,4.0,11.0,0.2
tamarind,628.0,0.086,5.1,1.3,113.0,8.6,0.0,14.0,0.0,28.0,1.94,62.5,0.428,0.1,0.6,0.0,2.8,0.1,0.066,2.0,2.8,74.0,0.272,0.152,3.5,92.0,2.8
tangerine,166.0,0.042,1.8,0.1,20.0,10.2,0.0,16.0,0.0,2.0,0.376,13.3,0.058,0.07,0.31,0.0,0.81,0.2,0.078,34.0,0.15,37.0,0.039,0.036,26.7,12.0,0.0
tapioca,92.0,0.018,0.0,0.0,60.0,6.2,0.0,3.0,1.0,145.0,0.065,21.7,0.024,0.22,3.88,0.21,1.95,0.15,0.024,0.0,0.11,71.0,0.962,0.097,0.3,6.0,0.4
tea,9.0,0.015,0.0,0.0,0.0,0.4,0.0,1.0,0.0,1.0,0.0,0.2,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,0.002,0.004,0.0,1.0,0.0
tequila,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
tilapia,323.0,0.094,0.0,52.6,192.0,53.4,3.9,24.0,63.0,381.0,4.17,0.0,0.041,0.42,2.14,1.69,25.2,0.5,0.163,0.0,0.7,13.0,0.736,0.071,0.0,31.0,1.8
tofu,123.0,0.103,0.8,6.3,79.0,28.0,0.6,32.0,19.0,169.0,0.666,22.1,0.047,0.52,12.1,0.06,4.78,1.24,0.059,102.0,1.06,71.0,2.28,0.084,10.2,20.0,12.9
tomatillo,259.0,0.081,1.9,0.8,41.0,7.9,0.0,8.0,0.0,906.0,1.62,6.36,0.046,0.25,0.89,0.0,1.13,0.43,0.083,11.0,0.65,9.0,0.0,0.036,12.3,19.0,13.6
tomato,454.0,0.175,6.1,0.4,49.0,13.3,0.0,74.0,0.0,317.0,1.6,8.09,0.063,0.59,13.1,0.0,1.87,1.89,0.237,10.0,0.52,12.0,1.9,0.118,10.5,27.0,19.3
tortillas,186.0,0.154,6.3,6.1,314.0,13.3,0.0,5.0,0.0,45.0,1.5,44.6,0.094,1.31,2.85,0.0,5.7,0.28,0.219,0.0,1.23,81.0,0.453,0.065,0.0,72.0,0.0
trout,671.0,0.082,0.0,42.0,402.0,116.0,28.3,18.0,105.0,607.0,9.41,0.0,0.192,0.8,11.0,6.88,35.5,4.16,0.544,134.0,0.55,45.0,2.46,0.152,4.1,44.0,0.2
tuna,185.0,0.067,0.4,52.6,221.0,68.0,4.6,30.0,84.0,338.0,7.33,9.32,0.101,0.9,11.9,1.39,21.1,1.23,0.115,104.0,1.53,80.0,2.69,0.22,2.0,24.0,41.9
turkey,174.0,0.088,1.1,20.4,130.0,42.0,0.1,75.0,41.0,347.0,5.33,19.5,0.217,1.28,9.93,0.35,14.4,0.46,0.281,6.0,1.72,93.0,1.85,0.205,0.5,23.0,20.1
turnip,199.0,0.088,1.9,0.7,28.0,11.8,0.0,13.0,2.0,201.0,0.396,6.7,0.038,0.28,2.83,0.0,0.95,0.35,0.102,12.0,0.32,32.0,0.787,0.03,18.6,11.0,2.6
vanilla,49.0,0.004,0.0,1.7,30.0,5.3,0.0,1.0,15.0,47.0,0.038,82.2,0.014,0.15,5.45,0.08,1.05,0.14,0.009,46.0,0.02,38.0,3.38,0.074,0.0,3.0,0.5
veal,286.0,0.125,0.4,10.0,153.0,64.8,0.0,27.0,68.0,144.0,6.34,6.52,0.088,1.83,8.56,0.66,16.7,0.65,0.191,39.0,1.07,9.0,3.91,0.261,1.4,21.0,19.6
venison,231.0,0.204,0.0,12.4,188.0,94.5,0.0,8.0,80.0,345.0,5.26,1.58,0.114,6.04,3.53,2.13,25.5,0.55,0.342,0.0,3.52,7.0,1.75,0.473,0.0,20.0,1.2
vermouth,92.0,0.045,0.0,0.5,9.0,5.0,0.0,0.0,0.0,9.0,0.213,13.7,0.018,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.24,8.0,0.0,0.018,0.0,9.0,0.0
vinegar,73.0,0.008,0.0,0.1,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.93,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0,0.0,0.0,0.0,5.0,0.0
vodka,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
waffle,260.0,0.171,2.9,11.3,371.0,55.5,0.9,69.0,65.0,521.0,1.47,48.6,0.247,1.26,22.6,0.54,9.1,1.9,0.154,86.0,2.0,248.0,7.9,0.329,0.0,35.0,15.4
walnut,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,15.0
wasabi,182.0,0.055,6.1,2.2,26.0,2.3,0.0,10.0,0.0,3390.0,0.16,46.1,0.05,0.61,10.9,0.0,2.23,3.91,0.05,0.0,0.5,41.0,2.03,0.07,0.0,21.0,3.5
watercress,344.0,0.08,0.5,0.9,63.0,9.6,0.0,7.0,2.0,174.0,0.198,1.35,0.084,0.12,2.83,0.0,2.4,1.36,0.145,170.0,0.21,125.0,0.803,0.119,31.3,22.0,263.0
watermelon,112.0,0.042,0.4,0.4,11.0,4.1,0.0,3.0,0.0,1.0,0.178,7.55,0.033,0.1,0.15,0.0,0.61,0.05,0.045,28.0,0.24,7.0,0.016,0.021,8.1,10.0,0.1
whiskey,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
white wine,71.0,0.004,0.0,0.1,18.0,4.3,0.0,1.0,0.0,5.0,0.108,2.6,0.005,0.12,0.0,0.0,0.07,0.0,0.05,0.0,0.27,9.0,0.0,0.015,0.0,10.0,0.4
whole wheat,165.0,0.175,4.1,28.7,142.0,9.8,0.0,108.0,0.0,439.0,3.37,48.9,0.403,1.1,1.53,0.0,10.2,0.32,0.147,0.0,2.76,105.0,0.0,0.209,0.0,51.0,1.5
wild rice,81.0,0.105,1.2,2.7,89.0,7.3,0.1,10.0,0.0,293.0,1.68,19.3,0.071,0.99,2.14,0.0,2.76,0.35,0.106,16.0,0.39,7.0,0.395,0.04,0.0,37.0,2.4
wine,25.0,0.009,0.0,1.4,6.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,6.0,0.0
yogurt,146.0,0.013,0.1,2.8,85.0,15.0,0.8,7.0,58.0,43.0,0.083,11.8,0.028,0.46,18.3,0.29,3.45,0.47,0.04,208.0,0.1,103.0,11.7,0.179,2.4,11.0,1.7
yuca,247.0,0.091,1.6,0.6,25.0,21.6,0.0,22.0,0.0,154.0,0.74,34.7,0.063,0.31,13.9,0.0,1.24,1.78,0.076,1.0,0.27,15.0,1.94,0.042,15.0,19.0,17.9
zucchini,157.0,0.063,0.9,12.2,111.0,31.7,0.5,59.0,39.0,292.0,1.47,42.4,0.179,0.48,12.9,0.15,4.93,1.46,0.078,32.0,1.69,137.0,2.18,0.209,3.0,15.0,14.3
